,GOOG,MSFT
2016-05-17,1.4363990893041727,1.75571705486088
2016-05-18,1.4903658786000122,1.7008323949535291
2016-05-19,1.4903658786000122,1.700832394953529
2016-05-20,1.4903658786000122,1.6635314097986886
2016-05-23,1.4903658786000122,1.6635314097986889
2016-05-24,1.4903658786000122,1.6635314097986886
2016-05-25,1.4088181638341115,1.640188686152937
2016-05-26,1.3471793044256422,1.6235362898213952
2016-05-27,1.3684138617384298,1.6048690985358565
2016-05-31,1.3349197298053854,1.6048690985358562
2016-06-01,1.3349197298053854,1.558869464613538
2016-06-02,1.267727703373532,1.6048690985358565
2016-06-03,1.2749725527440705,1.6048690985358565
2016-06-06,1.2749725527440705,1.6048690985358562
2016-06-07,1.2749725527440705,1.6048690985358567
2016-06-08,1.2749725527440705,1.5865711809739127
2016-06-09,1.2239623870892318,1.5865711809739125
2016-06-10,1.2239623870892318,1.5865711809739125
2016-06-13,1.2396846187612611,1.5865711809739125
2016-06-14,1.2396846187612611,1.4912388732043669
2016-06-15,1.2239623870892318,1.3711074966685353
2016-06-16,1.2239623870892318,1.3711074966685355
2016-06-17,1.2239623870892318,1.2799453577260829
2016-06-20,1.2239623870892318,1.2799453577260833
2016-06-21,1.2396846187612611,1.279945357726083
2016-06-22,1.2239623870892318,1.2130246388181507
2016-06-23,1.2396846187612611,1.213024638818151
2016-06-24,1.2724241024702378,1.4000767342619147
2016-06-27,1.2724241024702378,1.5905401871633398
2016-06-28,1.2724241024702378,1.5905401871633396
2016-06-29,1.2724241024702378,1.6079430544810007
2016-06-30,1.2772240232453402,1.5905401871633396
2016-07-01,1.2772240232453402,1.5805895978578977
2016-07-05,1.2479092253020814,1.580589597857898
2016-07-06,1.2772240232453402,1.6079430544810005
2016-07-07,1.304600836520922,1.6079430544810005
2016-07-08,1.3108746483636835,1.6079430544810007
2016-07-11,1.304600836520922,1.580589597857898
2016-07-12,1.304600836520922,1.5560866171360717
2016-07-13,1.3019015467135686,1.556086617136072
2016-07-14,1.3019015467135686,1.5560866171360723
2016-07-15,1.2745247334379868,1.509946555290885
2016-07-18,1.2745247334379868,1.5099465552908853
2016-07-19,1.2356135939336046,1.5099465552908848
2016-07-20,1.1891568552715848,1.509946555290885
2016-07-21,1.1891568552715848,1.5099465552908853
2016-07-22,1.1219896711112702,1.4846399164661084
2016-07-25,1.0810307226825868,1.467591691479864
2016-07-26,1.0413629806365607,1.419127315355362
2016-07-27,1.005275382823805,1.322498847304033
2016-07-28,1.044943124869831,1.2706571766013313
2016-07-29,1.044943124869831,1.2615851414439816
2016-08-01,1.044943124869831,1.2403114722040829
2016-08-02,1.02096248426519,1.2403114722040829
2016-08-03,1.005275382823805,1.192177188491052
2016-08-04,1.0010433030347932,1.240311472204083
2016-08-05,1.0010433030347932,1.2403114722040829
2016-08-08,0.9863800875645955,1.2403114722040829
2016-08-09,1.0010433030347932,1.240311472204083
2016-08-10,0.9666874828945423,1.192177188491052
2016-08-11,0.9666874828945425,1.192177188491052
