date,GOOG,MSFT
2016-02-17,34.904500000000006,46.085907420831745
2016-02-18,35.5,46.83780657214025
2016-02-19,34.7515,46.515556947124665
2016-02-22,35.3725,46.79303278252612
2016-02-23,35.0725,46.84675439624854
2016-02-24,34.446000000000005,45.369918691588786
2016-02-25,35.0005,46.30073295585413
2016-02-26,35.429,47.07946081871345
2016-02-29,35.016,45.96067216981132
2016-03-01,35.181000000000004,45.62047651198174
2016-03-02,35.95,46.9093750141643
2016-03-03,35.934,47.41062901623687
2016-03-04,35.7495,46.90046742264078
2016-03-07,35.345000000000006,46.14857440721145
2016-03-08,34.429500000000004,45.468311326234264
2016-03-09,34.9235,46.44400505299016
2016-03-10,35.40599999999999,47.3748414217099
2016-03-11,36.0,47.43744676841907
2016-03-14,36.3405,47.17787880383675
2016-03-15,36.346,47.21366159731293
2016-03-16,36.31849999999999,47.84025777368905
2016-03-17,36.822500000000005,48.520429418221745
2016-03-18,37.093,49.15591549822397
2016-03-21,36.825,47.661221685852205
2016-03-22,36.873000000000005,47.98347830589976
2016-03-23,37.118,48.43100661478599
2016-03-24,36.600500000000004,48.1893325954621
2016-03-28,36.839499999999994,48.520481285020544
2016-03-29,36.72950000000001,48.02820106013525
2016-03-30,37.505,49.1648944414169
2016-03-31,37.4625,49.18278707224335
2016-04-01,36.93,49.27227613820406
2016-04-04,37.503,49.6124
2016-04-05,36.9,49.39757886730205
2016-04-06,36.7885,48.6547641509434
2016-04-07,37.2685,49.111168821153136
2016-04-08,37.1985,48.93216148474825
2016-04-11,37.150999999999996,48.771108451482235
2016-04-12,36.9,48.66368693504116
2016-04-13,37.458,49.33493940379403
2016-04-14,37.70049999999999,49.42449342485549
2016-04-15,37.699,49.49603396226415
2016-04-18,38.023,49.66610533120794
2016-04-19,38.475500000000004,50.686511278595496
2016-04-20,37.9,50.382132110091746
2016-04-21,37.769,49.94360093223377
2016-04-22,36.315,46.46185602549246
2016-04-25,35.805,46.345534484743816
2016-04-26,36.271,46.77513825816485
2016-04-27,35.3645,46.07702544169611
2016-04-28,35.413000000000004,45.30723318637274
2016-04-29,34.535000000000004,44.17057549629036
2016-05-02,34.881499999999996,44.75232167555819
2016-05-03,34.8435,45.05662587384492
2016-05-04,34.524499999999996,44.60914858632445
2016-05-05,34.885000000000005,44.635946776131355
2016-05-06,34.919,44.68072808096844
2016-05-09,35.6,45.19091971240264
2016-05-10,35.837500000000006,45.04771754214034
2016-05-11,36.1705,45.763703682664065
2016-05-12,35.853,45.826335857115126
2016-05-13,35.59649999999999,46.0412169146437
2016-05-16,35.4565,45.46840131198149
2016-05-17,35.7995,46.61558107305484
2016-05-18,35.183499999999995,45.49796874630978
2016-05-19,35.117999999999995,45.48899614467408
2016-05-20,35.081,45.49791718688265
2016-05-23,35.3265,45.60614511293224
2016-05-24,35.342999999999996,45.69623725528203
2016-05-25,36.038000000000004,46.795838679969314
2016-05-26,36.1435,46.80485226440547
2016-05-27,36.200500000000005,46.79587706422018
2016-05-31,36.587,47.10233241509434
2016-06-01,36.7265,47.26456393566698
2016-06-02,36.625,47.44480914634147
2016-06-03,36.463499999999996,47.210471249275926
2016-06-06,36.24550000000001,46.85891711106848
2016-06-07,35.992000000000004,47.08428299424184
2016-06-08,36.19800000000001,46.88597386625673
2016-06-09,36.1435,46.86799690042619
2016-06-10,35.97350000000001,46.01173785936286
2016-06-13,35.8255,44.68676844834463
2016-06-14,35.824,44.975191450933174
2016-06-15,35.95,44.86701754880258
2016-06-16,35.7455,44.63266394125819
2016-06-17,35.4325,45.43486584879312
2016-06-20,34.93849999999999,45.642144517675256
2016-06-21,34.919999999999995,45.24560617308069
2016-06-22,34.952999999999996,46.038717552461264
2016-06-23,34.8725,46.2189771527644
2016-06-24,33.758500000000005,44.89407387116196
2016-06-27,33.55,44.25417571753046
2016-06-28,33.9485,44.09192055016182
2016-06-29,34.15,44.98417728531855
2016-06-30,34.2735,45.71431166699238
2016-07-01,34.61000000000001,46.08386077013292
2016-07-05,34.803,45.81345548172757
2016-07-06,34.499,45.76831642662514
2016-07-07,34.904,46.34515223822498
2016-07-08,34.975,46.62455562141491
2016-07-11,35.402499999999996,47.31858243011979
2016-07-12,35.955999999999996,47.71514734072543
2016-07-13,36.181,48.27396531489442
2016-07-14,36.079,48.52633062895423
2016-07-15,36.2865,48.62552681564246
2016-07-18,36.1355,48.40016030392884
2016-07-19,36.494499999999995,48.409210472782064
2016-07-20,36.866499999999995,50.608413790019675
2016-07-21,37.018,50.45513516129032
2016-07-22,37.093,50.54525989040127
2016-07-25,37.0335,50.89676039132735
2016-07-26,36.952,50.94188625792812
2016-07-27,36.914,51.02294863854779
2016-07-28,37.352,50.47312577833126
2016-07-29,38.63550000000001,50.70755091743119
2016-08-01,38.0545,51.0139261223047
2016-08-02,38.4345,51.23925265111347
2016-08-03,38.359,51.08602127435493
2016-08-04,38.611000000000004,51.19422895974908
2016-08-05,38.68899999999999,51.96029511732229
2016-08-08,39.1,52.32539346365828
2016-08-09,39.055,52.42906077319587
2016-08-10,39.18750000000001,52.41998290244742
2016-08-11,39.25,52.30284710120069
2016-08-12,39.075,52.30281758715913
2016-08-15,39.1875,52.284756348933236
2016-08-16,39.015,52.24787703690807
2016-08-17,38.86600000000001,52.184461501042385
2016-08-18,39.000499999999995,52.07555375
2016-08-19,38.75000000000001,52.08468431100312
2016-08-22,38.6635,52.238815328593724
2016-08-23,38.773999999999994,52.510869234755575
2016-08-24,38.528999999999996,52.42026125970664
2016-08-25,38.35,52.492791885851815
